Scenario ID,Scenario Name,KPI,Reason,Sector,Affected_Companies,Scenario Companies,Affected Company Share
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Energy,19,1654,0.011487303506650543
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Healthcare,44,1654,0.026602176541717048
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Industrials,47,1654,0.028415961305925032
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Real Estate,9,1654,0.005441354292623942
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Technology,50,1654,0.030229746070133012
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Utilities,5,1654,0.003022974607013301
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,source_field_missing,Basic Materials,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,source_field_missing,Healthcare,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,source_field_missing,Utilities,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Current Ratio,source_field_missing,Energy,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Current Ratio,source_field_missing,Healthcare,3,1654,0.0018137847642079807
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Current Ratio,source_field_missing,Industrials,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Current Ratio,source_field_missing,Real Estate,3,1654,0.0018137847642079807
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Current Ratio,source_field_missing,Technology,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Basic Materials,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Communication Services,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Consumer Cyclical,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Consumer Defensive,2,1654,0.0012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Healthcare,2,1654,0.0012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Industrials,2,1654,0.0012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Real Estate,2,1654,0.0012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Debt Ratio,source_field_missing,Technology,5,1654,0.003022974607013301
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Return on Assets,source_field_missing,Industrials,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Return on Assets,source_field_missing,Technology,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Basic Materials,20,1654,0.012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Communication Services,10,1654,0.006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Consumer Cyclical,5,1654,0.003022974607013301
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Consumer Defensive,4,1654,0.0024183796856106408
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Energy,12,1654,0.007255139056831923
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Healthcare,4,1654,0.0024183796856106408
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Industrials,5,1654,0.003022974607013301
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Real Estate,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Technology,13,1654,0.007859733978234583
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Revenue per Employee,source_field_missing,Utilities,5,1654,0.003022974607013301
