Scenario ID,Scenario Name,K,Cluster,KPI,Mean Absolute SHAP,Mean Signed SHAP,Median Signed SHAP,Mean Scaled KPI Value,N Explained Companies,Background Seed,Importance_Rank
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,0,EBITDA Margin,7.285149083326515,7.277533555141554,9.175055034005863,-1.948875530145899,79,31001,3
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,1,Free Cash Flow Margin,2.505729497843825,1.2820518970344732,1.5699029257524795,0.023687201700620695,121,31001,1
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,1,Operating Cash Flow Margin,2.161945507726399,0.836721750469474,1.1681947023471067,0.015220168388803966,121,31001,2
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,1,EBITDA Margin,1.7348946136610812,0.9802673262885379,1.1169663886406362,0.07789414437818075,121,31001,3
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,0,Revenue per Employee,59.407140319728555,59.407140319728555,72.81031000976256,5.898884099626016,52,31001,1
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,0,EBITDA Margin,1.6698246841206104,1.1555220637533432,1.3044482319273187,0.4073405944636471,52,31001,2
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,0,Free Cash Flow Margin,1.4136183376648506,0.8343611400379488,1.1501864684302086,-0.1483065869074901,52,31001,3
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,1,EBITDA Margin,20.408866037075082,20.408866037075082,22.376736798599495,-3.0484967224801562,64,31001,1
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,1,Free Cash Flow Margin,17.735559834340734,17.47115935727478,17.39369642881848,-3.0418853485558994,64,31001,2
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,1,Return on Assets,17.04505276271619,17.04505276271619,18.997205177035934,-2.984818235590925,64,31001,3
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,2,Revenue per Employee,8.46328060369552,7.839130282655809,9.071761708571316,0.021556337567106662,84,31001,1
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,2,Free Cash Flow Margin,3.3923663238513573,1.5360840079251328,2.7190429180597913,-0.025149920486503805,84,31001,2
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,2,EBITDA Margin,2.783362534930253,1.9071642396653512,2.5827840821352046,0.18953430960292142,84,31001,3
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,0,Revenue per Employee,12.586830153070615,9.132760875432972,12.905532507792037,0.28049035726825633,100,31001,1
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,0,EBITDA Margin,0.4160796626129841,0.09359223902222666,0.18752801678169795,0.09733398802530864,100,31001,2
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,0,Operating Cash Flow Margin,0.30202166081386556,0.025384983353236433,0.1059601619416714,0.13762847496347722,100,31001,3
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,1,Revenue per Employee,74.31494198322936,74.31494198322936,88.45719408615861,6.70833526112614,100,31001,1
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,1,EBITDA Margin,0.6609540501453557,0.15399415342200753,-0.05081336613971921,0.4088494266819087,100,31001,2
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,1,Operating Cash Flow Margin,0.4680531908350436,0.0702212729561687,-0.05187413816844327,0.3016051984593626,100,31001,3
technology_revenue_25m,Technology companies with revenue >= $25M,2,0,Free Cash Flow Margin,2.867172527335435,2.1530548934227784,2.278750513515279,0.17055069041381402,100,31001,1
technology_revenue_25m,Technology companies with revenue >= $25M,2,0,Return on Assets,2.328592167162892,1.5572819702815632,1.4077501132349686,0.19957198324692402,100,31001,2
technology_revenue_25m,Technology companies with revenue >= $25M,2,0,EBITDA Margin,2.2492246974458534,1.2411749578894595,0.93644016064068,0.2616477451471044,100,31001,3
technology_revenue_25m,Technology companies with revenue >= $25M,2,1,EBITDA Margin,8.63576299433674,8.40281176294182,7.88124505384603,-1.9129392673612498,100,31001,1
technology_revenue_25m,Technology companies with revenue >= $25M,2,1,Return on Assets,7.356681840478642,7.1303189427909714,7.44543877078732,-1.891516413455727,100,31001,2
technology_revenue_25m,Technology companies with revenue >= $25M,2,1,Free Cash Flow Margin,6.834213142801432,6.472403645342524,5.477823668266964,-1.86462196382717,100,31001,3
