Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Method Type,K,Common-Space Silhouette,Neural Seed Mean ARI,Mean Resampling ARI,Minimum Resampling ARI,Pareto Efficient,Common-Space Silhouette Rank,Mean Resampling ARI Rank,Minimum Resampling ARI Rank,Profiles Won,Separation-focused Weighted Rank,Balanced Weighted Rank,Stability-focused Weighted Rank,Profile Win Share
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Traditional full-assignment,3,0.42797017190429887,,0.8902096868916485,0.6147864818651694,True,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Traditional full-assignment,3,0.36783750095887086,,0.7208313981822768,0.351131901177046,False,2.0,2.0,2.0,0,2.0,2.0,2.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Traditional full-assignment,2,0.23189510722820927,,0.5863991325849318,0.15383658760085253,False,3.0,3.0,5.0,0,3.3,3.5,3.7,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,4,0.1938911107185691,0.40217438542193723,0.40929621495964763,0.24785058043368766,False,4.0,4.0,3.0,0,3.8499999999999996,3.75,3.65,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,Neural full-assignment,4,0.1628009054989247,0.4026089143697556,0.39920163779453843,0.23876239676264044,False,5.0,5.0,4.0,0,4.85,4.75,4.65,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,Traditional full-assignment,2,0.596074030176157,,0.8078500464963764,0.49477944773390764,True,1.0,3.0,3.0,0,1.8,2.1999999999999997,2.5999999999999996,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Traditional full-assignment,2,0.5759981888852561,,0.9591802416748626,0.8355222757530573,True,2.0,1.0,1.0,3,1.5999999999999999,1.4,1.2000000000000002,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Traditional full-assignment,2,0.22079898709840845,,0.9023515710718263,0.7442242851755334,False,3.0,2.0,2.0,0,2.5999999999999996,2.4000000000000004,2.2,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,Neural full-assignment,4,0.16164815664179646,0.3995863749921312,0.310644791109722,0.17156646253964336,False,4.0,5.0,5.0,0,4.4,4.6,4.8,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,Neural full-assignment,4,0.09739472106223214,0.23306346126870578,0.3176176724087433,0.2177257049585754,False,5.0,4.0,4.0,0,4.6,4.4,4.199999999999999,0.0
