Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Kruskal-Wallis H,Kruskal-Wallis P-Value,Epsilon-Squared,Cluster Median Range,N Evaluated,Evaluation Coverage,Benjamini-Hochberg Adjusted P-Value
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,Log10 Total Revenue,53.63505861766316,2.414127183840214e-13,0.15998498060079988,1.168277325891526,331,1.0,6.497280568853909e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,Log10 MarketCap,3.787644755775659,0.051632252645464,0.008473084364059755,0.1317125673743984,331,1.0,0.06184522569621512
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Log10 Total Revenue,107.71364118958604,3.406690280276113e-23,0.2379855481581501,2.780002274684027,444,1.0,2.121881374571979e-22
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Log10 MarketCap,36.87345064608985,4.8939699033861525e-08,0.07698511510474966,1.2232830190169182,444,1.0,8.817235032546953e-08
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Log10 Total Revenue,73.25956418254191,1.2356280664432876e-16,0.18703297685706538,2.780002274684027,384,1.0,4.14410643822518e-16
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Log10 MarketCap,10.598476957034563,0.00499539656062081,0.02256818098959203,0.7242565646442607,384,1.0,0.006294777168874778
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,All companies including noise,Log10 Total Revenue,83.26081101680415,8.32040772037172e-19,0.18426487758912508,1.1126151312922916,444,1.0,3.297907060074609e-18
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,All companies including noise,Log10 MarketCap,17.622689239092097,0.00014903272883246793,0.03542559918161473,0.39723898796382606,444,1.0,0.00020305709303423757
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,HDBSCAN assigned subset,Log10 Total Revenue,55.02280318420662,1.1913952889483312e-13,0.16725326063221865,1.1126151312922916,325,1.0,3.509786121496435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,HDBSCAN assigned subset,Log10 MarketCap,2.565495543160978,0.10921832881842197,0.004846735427742966,0.06969312933070348,325,1.0,0.12086089178891364
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,All companies including noise,Log10 Total Revenue,114.10524672912175,1.6686317183925372e-25,0.25420690868281576,1.168277325891526,444,1.0,1.2991489807484754e-24
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,All companies including noise,Log10 MarketCap,32.82140839818089,7.463142296233208e-08,0.06988981496186143,0.5204424281561142,444,1.0,1.3015720164630716e-07
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,HDBSCAN assigned subset,Log10 Total Revenue,53.63505861766316,2.414127183840214e-13,0.15998498060079988,1.168277325891526,331,1.0,6.497280568853909e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,HDBSCAN assigned subset,Log10 MarketCap,3.787644755775659,0.051632252645464,0.008473084364059755,0.1317125673743984,331,1.0,0.06184522569621512
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Log10 Total Revenue,61.64847826363666,4.1039592155939126e-14,0.13525732032570673,1.030056997523805,444,1.0,1.2600888859147507e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Log10 MarketCap,8.991144856811161,0.011158291463634293,0.015852936183245264,0.34712310077253683,444,1.0,0.01366577269141728
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Log10 Total Revenue,53.53872097701833,2.535459118252367e-13,0.14394170130689954,1.030056997523805,367,1.0,6.580120092607333e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Log10 MarketCap,0.4160404487465712,0.5189194250396783,0.0,0.019515932002768466,367,1.0,0.5361347614154022
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,Log10 Total Revenue,83.26081101680415,8.32040772037172e-19,0.18426487758912508,1.1126151312922916,444,1.0,3.297907060074609e-18
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,Log10 MarketCap,17.622689239092097,0.00014903272883246793,0.03542559918161473,0.39723898796382606,444,1.0,0.00020305709303423757
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,Log10 Total Revenue,55.02280318420662,1.1913952889483312e-13,0.16725326063221865,1.1126151312922916,325,1.0,3.509786121496435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,Log10 MarketCap,2.565495543160978,0.10921832881842197,0.004846735427742966,0.06969312933070348,325,1.0,0.12086089178891364
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,Log10 Total Revenue,114.10524672912175,1.6686317183925372e-25,0.25420690868281576,1.168277325891526,444,1.0,1.2991489807484754e-24
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,Log10 MarketCap,32.82140839818089,7.463142296233208e-08,0.06988981496186143,0.5204424281561142,444,1.0,1.3015720164630716e-07
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,Log10 Total Revenue,53.63505861766316,2.414127183840214e-13,0.15998498060079988,1.168277325891526,331,1.0,6.497280568853909e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,Log10 MarketCap,3.787644755775659,0.051632252645464,0.008473084364059755,0.1317125673743984,331,1.0,0.06184522569621512
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,Log10 Total Revenue,61.64847826363666,4.1039592155939126e-14,0.13525732032570673,1.030056997523805,444,1.0,1.2600888859147507e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,Log10 MarketCap,8.991144856811161,0.011158291463634293,0.015852936183245264,0.34712310077253683,444,1.0,0.01366577269141728
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,Log10 Total Revenue,53.53872097701833,2.535459118252367e-13,0.14394170130689954,1.030056997523805,367,1.0,6.580120092607333e-13
