Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,KPI,N Companies in Cluster,Imputed Observations,Imputation Rate
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,Revenue per Employee,13,2,0.15384615384615385
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,Current Ratio,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,Debt Ratio,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,Free Cash Flow Margin,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,Operating Cash Flow Margin,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,EBITDA Margin,468,1,0.002136752136752137
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Return on Assets,468,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Asset Turnover,468,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Revenue per Employee,468,21,0.04487179487179487
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Current Ratio,468,1,0.002136752136752137
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Debt Ratio,468,9,0.019230769230769232
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Free Cash Flow Margin,468,1,0.002136752136752137
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,Operating Cash Flow Margin,468,2,0.004273504273504274
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,EBITDA Margin,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Return on Assets,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Asset Turnover,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Revenue per Employee,13,2,0.15384615384615385
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Current Ratio,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Debt Ratio,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Free Cash Flow Margin,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,Operating Cash Flow Margin,13,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,EBITDA Margin,113,1,0.008849557522123894
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Return on Assets,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Asset Turnover,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Revenue per Employee,113,8,0.07079646017699115
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Current Ratio,113,0,0.0
