Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,N Companies,Dominant Sector,Dominant Sector Share,Dominant Industry,Dominant Industry Share,Median Log10 Revenue,Median Log10 MarketCap,MarketCap Coverage
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,1,33,Healthcare,1.0,Biotechnology,0.8787878787878788,7.877302221883862,9.24304996060015,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,-1,119,Healthcare,1.0,Biotechnology,0.42857142857142855,8.382954898183238,8.915442791830381,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,0,294,Healthcare,1.0,Medical Devices,0.21428571428571427,8.988416958831301,9.312681779794207,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,1,31,Healthcare,1.0,Biotechnology,0.8709677419354839,7.87580182753901,9.242988650463504,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,0,294,Healthcare,1.0,Medical Devices,0.21428571428571427,8.988416958831301,9.312681779794207,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,1,31,Healthcare,1.0,Biotechnology,0.8709677419354839,7.87580182753901,9.242988650463504,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,-1,113,Healthcare,1.0,Biotechnology,0.4690265486725664,8.28379631354754,8.82979499017299,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,0,302,Healthcare,1.0,Medical Devices,0.2052980132450331,9.03900887696648,9.350237418329105,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,1,29,Healthcare,1.0,Biotechnology,0.8620689655172413,7.870731551074955,9.218524850954706,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,0,302,Healthcare,1.0,Medical Devices,0.2052980132450331,9.03900887696648,9.350237418329105,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,1,29,Healthcare,1.0,Biotechnology,0.8620689655172413,7.870731551074955,9.218524850954706,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,-1,77,Healthcare,1.0,Biotechnology,0.38961038961038963,8.370333561381878,8.915442791830381,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,0,334,Healthcare,1.0,Medical Devices,0.20658682634730538,8.907359219407667,9.262565892602918,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,1,33,Healthcare,1.0,Biotechnology,0.8787878787878788,7.877302221883862,9.24304996060015,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,0,334,Healthcare,1.0,Medical Devices,0.20658682634730538,8.907359219407667,9.262565892602918,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,1,33,Healthcare,1.0,Biotechnology,0.8787878787878788,7.877302221883862,9.24304996060015,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,-1,119,Healthcare,1.0,Biotechnology,0.42857142857142855,8.382954898183238,8.915442791830381,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,0,294,Healthcare,1.0,Medical Devices,0.21428571428571427,8.988416958831301,9.312681779794207,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,1,31,Healthcare,1.0,Biotechnology,0.8709677419354839,7.87580182753901,9.242988650463504,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,0,294,Healthcare,1.0,Medical Devices,0.21428571428571427,8.988416958831301,9.312681779794207,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,1,31,Healthcare,1.0,Biotechnology,0.8709677419354839,7.87580182753901,9.242988650463504,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,-1,113,Healthcare,1.0,Biotechnology,0.4690265486725664,8.28379631354754,8.82979499017299,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,0,302,Healthcare,1.0,Medical Devices,0.2052980132450331,9.03900887696648,9.350237418329105,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,1,29,Healthcare,1.0,Biotechnology,0.8620689655172413,7.870731551074955,9.218524850954706,1.0
