Scenario ID,Scenario Name,Replicate,Seed,Sample Size,Hopkins Statistic
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,14,70014,100,0.9937492285775821
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,15,70015,100,0.9773284071623591
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,16,70016,100,0.9889071813592273
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,17,70017,100,0.9969225078594929
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,18,70018,100,0.9941197666063705
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,19,70019,100,0.987638929424581
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,20,70020,100,0.994773974602723
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,21,70021,100,0.9814283405382073
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,22,70022,100,0.9812079124332487
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,23,70023,100,0.9815150284277046
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,24,70024,100,0.9981469463721162
