Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples,Candidate ID,HDBSCAN Pareto Efficient,Mean_ARI,Min_ARI,Mean_Pairwise_Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6410468975858931,0.5458547422611134,768.3707692944135,0.6410468975858931,0.5458547422611134,768.3707692944135,0.9170199878861296,,,,0.0829800121138704,10.0,5.0,HDBSCAN|mcs=10|ms=5,True,0.9297535563479,0.5386806266820133,0.8608680232767993
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.637795395307857,0.5270797483310468,734.4214326694033,0.637795395307857,0.5270797483310468,734.4214326694033,0.9285281647486372,,,,0.0714718352513628,10.0,10.0,HDBSCAN|mcs=10|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6371482901135445,0.534586921544376,784.7655119218035,0.6371482901135445,0.534586921544376,784.7655119218035,0.9327680193821926,,,,0.06723198061780744,10.0,15.0,HDBSCAN|mcs=10|ms=15,True,0.995814474546376,0.9566734313251702,0.9205908145493366
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6410468975858931,0.5458547422611134,768.3707692944135,0.6410468975858931,0.5458547422611134,768.3707692944135,0.9170199878861296,,,,0.0829800121138704,15.0,5.0,HDBSCAN|mcs=15|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.637795395307857,0.5270797483310468,734.4214326694033,0.637795395307857,0.5270797483310468,734.4214326694033,0.9285281647486372,,,,0.0714718352513628,15.0,10.0,HDBSCAN|mcs=15|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6371482901135445,0.534586921544376,784.7655119218035,0.6371482901135445,0.534586921544376,784.7655119218035,0.9327680193821926,,,,0.06723198061780744,15.0,15.0,HDBSCAN|mcs=15|ms=15,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6410468975858931,0.5458547422611134,768.3707692944135,0.6410468975858931,0.5458547422611134,768.3707692944135,0.9170199878861296,,,,0.0829800121138704,20.0,5.0,HDBSCAN|mcs=20|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.637795395307857,0.5270797483310468,734.4214326694033,0.637795395307857,0.5270797483310468,734.4214326694033,0.9285281647486372,,,,0.0714718352513628,20.0,10.0,HDBSCAN|mcs=20|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6371482901135445,0.534586921544376,784.7655119218035,0.6371482901135445,0.534586921544376,784.7655119218035,0.9327680193821926,,,,0.06723198061780744,20.0,15.0,HDBSCAN|mcs=20|ms=15,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6410468975858931,0.5458547422611134,768.3707692944135,0.6410468975858931,0.5458547422611134,768.3707692944135,0.9170199878861296,,,,0.0829800121138704,25.0,5.0,HDBSCAN|mcs=25|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.637795395307857,0.5270797483310468,734.4214326694033,0.637795395307857,0.5270797483310468,734.4214326694033,0.9285281647486372,,,,0.0714718352513628,25.0,10.0,HDBSCAN|mcs=25|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6371482901135445,0.534586921544376,784.7655119218035,0.6371482901135445,0.534586921544376,784.7655119218035,0.9327680193821926,,,,0.06723198061780744,25.0,15.0,HDBSCAN|mcs=25|ms=15,True,,,
