Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13998127973604843,2.2705378027208245,112.71772165247202,0.13998127973604843,2.2705378027208245,112.71772165247202,1.0,,3478.6567127569797,4764.745625360698,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14174353292009498,2.90769885162659,103.4350878199254,0.14174353292009498,2.90769885162659,103.4350878199254,1.0,,3464.0219605822344,4934.422978495403,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14853649370896363,1.897289505523386,103.95387117601265,0.14853649370896363,1.897289505523386,103.95387117601265,1.0,,3330.2706340874092,4984.9837573100285,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14582838217946206,1.6521517735047198,109.34971115182981,0.14582838217946206,1.6521517735047198,109.34971115182981,1.0,,3511.6036886144234,5350.628917146492,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.40653674701074644,0.6290249489918146,180.67791610993996,0.40653674701074644,0.6290249489918146,180.67791610993996,0.8648648648648649,,,,0.1351351351351351,10.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.48814680614288414,0.5320539252395452,236.7816339310213,0.48814680614288414,0.5320539252395452,236.7816339310213,0.7635135135135135,,,,0.2364864864864865,10.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,10.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.40653674701074644,0.6290249489918146,180.67791610993996,0.40653674701074644,0.6290249489918146,180.67791610993996,0.8648648648648649,,,,0.1351351351351351,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,15.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,15.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5797113590695884,0.5018074436609441,283.17229063971394,0.5797113590695884,0.5018074436609441,283.17229063971394,0.8265765765765766,,,,0.17342342342342343,20.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,20.0,10.0
