Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Run A,Run B,N Shared Companies,N Evaluated Companies,Pairwise Evaluation Coverage,ARI,NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10003,10004,1059,1059,1.0,0.43426881503786907,0.4593125033243255
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10000,10001,1067,1067,1.0,0.34235853804218114,0.4161712605918225
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10000,10002,1062,1062,1.0,0.33071636518649333,0.42612248660467755
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10000,10003,1066,1066,1.0,0.29077998471800276,0.38526754757045933
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10000,10004,1048,1048,1.0,0.22652963390644074,0.35587813752395225
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10001,10002,1066,1066,1.0,0.4163890908277902,0.43520169165214523
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10001,10003,1055,1055,1.0,0.2808851748241262,0.37126433008000803
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10001,10004,1048,1048,1.0,0.2177257049585754,0.31537935056556987
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10002,10003,1053,1053,1.0,0.35165688115969307,0.38529899965778236
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10002,10004,1047,1047,1.0,0.3806940433155988,0.4371576374180826
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10003,10004,1059,1059,1.0,0.3384413071485315,0.41818196711211003
