Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Reference Cluster,KPI,Reference Raw Median,Median Resampled Raw Median,Empirical 10th Percentile Raw Median,Empirical 90th Percentile Raw Median,Minimum Raw Median,Maximum Raw Median,Reference Difference from Cohort Median,Median Resampled Difference from Cohort Median,Empirical 10th Percentile Difference,Empirical 90th Percentile Difference,Directional Consistency,Median Model-Space Profile,Empirical 10th Percentile Model-Space Profile,Empirical 90th Percentile Model-Space Profile,Mean Imputation Share,Maximum Imputation Share,Aligned Run Count,Expected Run Count
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,Return on Assets,0.040435645947409594,0.04050825053441355,0.0398102591867055,0.041778510305496015,0.0383423702556158,0.04458529846489448,-1.1466967123605065e-05,-0.00018317912083322396,-0.0008384495994853559,0.0008480017078776506,0.6,-0.0015601008454956134,-0.008962915045501558,0.009705124551298436,0.0017817138084685903,0.002617801047120419,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,Revenue per Employee,481870.3333333333,479822.20944468735,459413.71514054027,488697.4388493496,393326.1339092873,493409.5785440613,-51125.28190371796,-52868.78546077019,-76607.67925453829,-46524.85780264587,1.0,-0.04728846681620658,-0.07369400575883418,-0.0398531694372613,0.04819298687067562,0.053800170794193,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Asset Turnover,0.5034266280745101,0.5016395232630213,0.4658503982393296,0.6405571611138811,0.37851687003653417,0.798166414908255,-0.17647624294391584,-0.17842047120432797,-0.212463013937609,-0.04382666230431184,0.95,-0.2810980814952948,-0.34508380913471465,-0.068336492433789,0.0,0.0,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Current Ratio,1.0785065294713818,1.0759965944043806,0.9836686111960089,1.1746708401156578,0.9491646627843127,1.2132559343744038,-0.4066810290503704,-0.40745349138371245,-0.5018772825698287,-0.3205659930877951,1.0,-0.3473699235806335,-0.4257923987241966,-0.26728671639154045,0.002370062857678957,0.017543859649122806,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Debt Ratio,0.2914194815308607,0.28274616073071407,0.26603227039185523,0.3356148572541058,0.26233806946945804,0.378599357831262,-0.03365405443491165,-0.04287300113263942,-0.05745415307053098,0.009381281356855554,0.85,-0.15614637501696665,-0.21019919870647247,0.019711022964070374,0.0008928571428571428,0.017857142857142856,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,EBITDA Margin,0.2065812910660067,0.23439149410346172,0.18149129566405695,0.2941413092041901,0.15058238587263534,0.38928518781346527,0.04459694522163893,0.07227373537515257,0.022055194064010134,0.12784321057650347,0.95,0.3582854481148505,0.11060018804936984,0.6189711572264263,0.0031276386152547147,0.030303030303030304,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Free Cash Flow Margin,0.07314585538447993,0.07380862245830865,0.05484237484641014,0.11522609018819623,0.05086603184647336,0.1416421328099444,-0.0018150521632401967,-0.0010803541334076239,-0.02018143906732065,0.03838317978538386,0.55,-0.008200924846819203,-0.1604095543130884,0.29192469555483647,0.0,0.0,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Operating Cash Flow Margin,0.16044827958815086,0.16205724132397809,0.12956058742790597,0.26389007044870444,0.1067668781458823,0.30587942201191465,0.0201165960985768,0.02149795990240433,-0.010392010361867888,0.1211039912769456,0.85,0.11344977521275756,-0.0030853202189640738,0.653888893591165,0.025462869043040126,0.038461538461538464,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Return on Assets,0.04849926347886055,0.04812759814221394,0.04474481690357044,0.051081315131191844,0.039292372678354275,0.055308403381014656,0.00805215056432735,0.007620477698147485,0.003611693626042236,0.011113516318987493,0.95,0.10671008709557347,0.05089559224645992,0.15782729191830766,0.0,0.0,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,Revenue per Employee,9114980.340871362,9114980.340871362,8000336.361658969,10239040.70251562,7702468.959661347,18678702.479338843,8581984.72563431,8581228.033464665,7479063.49997072,9708993.416843763,1.0,8.175003512464338,7.277459832109346,8.84458866347641,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Asset Turnover,0.6362428265097018,0.6350610349346725,0.6187502335885542,0.6517381583742368,0.610460531068531,0.6540909581272057,0.02477997241291574,0.023371268271790646,0.01325187579100059,0.02988024447482107,1.0,0.046644954212254085,0.024453977710184868,0.05633640712959213,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Current Ratio,1.7470992502684448,1.822413889640936,1.7389930883749005,1.9221688621916102,1.7142355455452378,1.9248290071032426,-0.037581139621788884,0.012270977136593864,-0.01705702354925389,0.05083236618432605,0.25,0.006406920753094472,-0.008928377935640785,0.03067906389618735,0.001529559819706069,0.0028653295128939827,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Debt Ratio,0.1854500554015071,0.183373683628753,0.16799258937188813,0.19444809160390553,0.16190682306771126,0.1965677786140393,0.004417982611387261,0.002672954485717749,-0.006043170257633018,0.011763424213136083,0.7,0.0,-0.002618717065704813,0.013938684963992587,0.02197467542199961,0.027707808564231738,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,EBITDA Margin,0.11062472073309143,0.12533530091028172,0.10562593680861972,0.13947799631363633,0.09369941256724373,0.14978291813422384,0.017584885764038466,0.03314655746860065,0.014389500819255812,0.047928254153226005,1.0,0.14314128922392302,0.061846792018205504,0.20919010178574693,0.00035439590576163635,0.002403846153846154,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Free Cash Flow Margin,0.10715248264973622,0.12443185432308264,0.10573074068415074,0.1404747313786678,0.09691539888469114,0.14107622740817066,0.018270898505488478,0.03558607479373333,0.019040135616794334,0.049150840165559956,1.0,0.17576735610486188,0.09953115504818459,0.24097499760927893,0.0024147874258884333,0.0028653295128939827,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Operating Cash Flow Margin,0.16036276890869847,0.16742254270395562,0.15879012864665384,0.17945648886453172,0.1484091610165314,0.1832038341931657,0.020340403362352294,0.026450076123695015,0.018450558066223508,0.03546714140562349,1.0,0.12139655223034523,0.08497791655615276,0.16646637696645522,0.0060782957293860585,0.008310249307479225,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Return on Assets,0.02669341791151724,0.03125602274287831,0.02480898316868872,0.039487048463985756,0.02098404950753944,0.04049549447575515,0.008345448359922788,0.013823626000890986,0.007095763266272451,0.021447782939188302,1.0,0.10330922038056675,0.05468996247206754,0.16240929230412562,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Revenue per Employee,393644.5868945869,395114.7703842549,384496.1019441675,404536.1771932264,380387.3971423653,408690.0,15035.397705397743,12969.392468811217,5890.746738211077,24930.25780507713,1.0,0.005638020591056179,0.0,0.04409707931372995,0.041392858184019325,0.05301204819277108,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Asset Turnover,0.3802845216130474,0.49231156157269385,0.38018011919625516,0.5187118919326722,0.3792404974451253,0.5387164947496013,-0.23117833248373865,-0.11434389497424907,-0.232454247528948,-0.07941884611484876,1.0,-0.2170735532211588,-0.4545272390263535,-0.147905289793808,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Current Ratio,2.462675288319787,1.730061694514458,1.659083305154542,2.0870458399440484,1.614919229543141,2.701103090578988,0.6779948984295534,-0.0740472865574825,-0.17496374664184186,0.2767907319798499,0.35,-0.04665215570998792,-0.10455340089940293,0.1786018817167435,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Debt Ratio,0.1133915115385763,0.13325531263311116,0.11150885924440641,0.21013400927000075,0.09843649684655766,0.2112130996216157,-0.06764056125154355,-0.04333504615153086,-0.07014685347483618,0.028324622791607367,0.7,-0.1480411924299393,-0.240063725749722,0.09427018568674281,0.0015214961446251539,0.011363636363636364,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,EBITDA Margin,-0.5662247444431445,-0.33007952740331303,-0.56612648241388,-0.28419918537907035,-0.829268036436253,-0.1902741542903505,-0.6592645794121975,-0.4251356393465948,-0.6562869183148918,-0.3756095329918972,1.0,-1.9065697243236066,-2.8851528019950754,-1.603341498470329,0.006393314724990921,0.014285714285714285,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Free Cash Flow Margin,-0.5961915030359755,-0.355873246133953,-0.6375200427562646,-0.18084589529261283,-0.9932524935686138,-0.14126441751671107,-0.6850730871802232,-0.4421951634960105,-0.7223379920193447,-0.27156054455454265,1.0,-2.178809033757841,-3.6767540047953045,-1.3981418931483782,0.0,0.0,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Operating Cash Flow Margin,-0.46874338347220845,-0.2505422284158217,-0.515068896877895,-0.11719648492223388,-0.678170107059253,-0.08187356740729439,-0.6087657490185546,-0.39341277582986917,-0.6464368332843535,-0.2600713570292655,1.0,-1.8597193062517579,-2.6991660530582298,-1.2473990901487402,0.0,0.0,20,20
