Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Bias-Corrected Cramer's V,Adjusted Mutual Information,Chi-Square P-Value,Contingency Rows,Contingency Columns,Expected Cells Below 5 Share,N Evaluated,Benjamini-Hochberg Adjusted P-Value
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,Industry,0.3679989451317235,0.09570572437191727,5.625305272268987e-20,3,11,0.42424242424242425,444,9.077197143888592e-20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,Sector,,,,2,1,,325,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,HDBSCAN assigned subset,Industry,0.489248117290499,0.08790020752447039,7.88188791876181e-15,2,10,0.5,325,1.119228084464177e-14
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,All companies including noise,Industry,0.3102594209394533,0.06839427532897784,1.4990409318148495e-13,3,11,0.42424242424242425,444,1.8837505514841471e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,Sector,,,,2,1,,331,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=15,,HDBSCAN assigned subset,Industry,0.47226364306706486,0.07762691922595975,9.716609580041179e-14,2,11,0.45454545454545453,331,1.2658335416200435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,All companies including noise,Industry,0.37650529639904595,0.09198322669861372,4.848639731382588e-21,3,11,0.42424242424242425,444,8.295263154895512e-21
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,Sector,,,,2,1,,367,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,Industry,0.43191464476891384,0.07486579513496615,5.542053336945218e-13,2,10,0.5,367,6.84323107692366e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,Industry,0.3679989451317235,0.09570572437191727,5.625305272268987e-20,3,11,0.42424242424242425,444,9.077197143888592e-20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,Sector,,,,2,1,,325,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,Industry,0.489248117290499,0.08790020752447039,7.88188791876181e-15,2,10,0.5,325,1.119228084464177e-14
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,Industry,0.3102594209394533,0.06839427532897784,1.4990409318148495e-13,3,11,0.42424242424242425,444,1.8837505514841471e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,HDBSCAN assigned subset,Sector,,,,2,1,,331,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,HDBSCAN assigned subset,Industry,0.47226364306706486,0.07762691922595975,9.716609580041179e-14,2,11,0.45454545454545453,331,1.2658335416200435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Industry,0.42641235330617866,0.15287139952061327,1.5153061062339957e-40,4,11,0.5,444,3.709887363538403e-40
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Industry,0.41616258930159666,0.1564597950442437,2.520093475723465e-38,4,11,0.4318181818181818,444,5.341093635115404e-38
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Industry,0.37867728132205297,0.1470083575490893,9.273358465750828e-31,4,11,0.4318181818181818,444,1.75575586951549e-30
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Sector,,,,4,1,,444,
