Scenario ID,Scenario Name,Null Replicate,Seed,Selected K,Best Silhouette
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,46,41047,4,0.22816689762689307
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,47,41048,2,0.2607290655697826
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,48,41049,4,0.2484593659458178
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,49,41050,4,0.24398231334688103
industrials_revenue_20m,Industrials companies with revenue >= $20M,0,51001,2,0.42650621842212183
industrials_revenue_20m,Industrials companies with revenue >= $20M,1,51002,2,0.4167592912161473
industrials_revenue_20m,Industrials companies with revenue >= $20M,2,51003,2,0.41699465545340275
industrials_revenue_20m,Industrials companies with revenue >= $20M,3,51004,2,0.4288814636051791
industrials_revenue_20m,Industrials companies with revenue >= $20M,4,51005,2,0.4221491839483931
industrials_revenue_20m,Industrials companies with revenue >= $20M,5,51006,2,0.42108519386164744
industrials_revenue_20m,Industrials companies with revenue >= $20M,6,51007,2,0.4246500838393494
industrials_revenue_20m,Industrials companies with revenue >= $20M,7,51008,2,0.4217074747763801
industrials_revenue_20m,Industrials companies with revenue >= $20M,8,51009,2,0.42135639309876205
industrials_revenue_20m,Industrials companies with revenue >= $20M,9,51010,2,0.4266627776970817
industrials_revenue_20m,Industrials companies with revenue >= $20M,10,51011,2,0.4146248205972184
industrials_revenue_20m,Industrials companies with revenue >= $20M,11,51012,2,0.4331357426931754
industrials_revenue_20m,Industrials companies with revenue >= $20M,12,51013,2,0.41861173526060474
industrials_revenue_20m,Industrials companies with revenue >= $20M,13,51014,2,0.43454873520764964
industrials_revenue_20m,Industrials companies with revenue >= $20M,14,51015,2,0.4201046165284671
industrials_revenue_20m,Industrials companies with revenue >= $20M,15,51016,2,0.4392333224967775
industrials_revenue_20m,Industrials companies with revenue >= $20M,16,51017,2,0.41770184445587816
industrials_revenue_20m,Industrials companies with revenue >= $20M,17,51018,2,0.4253034029096459
industrials_revenue_20m,Industrials companies with revenue >= $20M,18,51019,2,0.42052194374400087
industrials_revenue_20m,Industrials companies with revenue >= $20M,19,51020,2,0.4163041433514395
industrials_revenue_20m,Industrials companies with revenue >= $20M,20,51021,2,0.4248862795425792
industrials_revenue_20m,Industrials companies with revenue >= $20M,21,51022,2,0.43528000201986067
industrials_revenue_20m,Industrials companies with revenue >= $20M,22,51023,2,0.4269434136397837
industrials_revenue_20m,Industrials companies with revenue >= $20M,23,51024,2,0.4231767472731447
industrials_revenue_20m,Industrials companies with revenue >= $20M,24,51025,2,0.42754357449668967
industrials_revenue_20m,Industrials companies with revenue >= $20M,25,51026,2,0.4243561570624614
industrials_revenue_20m,Industrials companies with revenue >= $20M,26,51027,2,0.43218610317675626
industrials_revenue_20m,Industrials companies with revenue >= $20M,27,51028,2,0.43644203527473296
industrials_revenue_20m,Industrials companies with revenue >= $20M,28,51029,2,0.41022211233857836
industrials_revenue_20m,Industrials companies with revenue >= $20M,29,51030,2,0.4157873883362232
industrials_revenue_20m,Industrials companies with revenue >= $20M,30,51031,2,0.41778873213973944
industrials_revenue_20m,Industrials companies with revenue >= $20M,31,51032,2,0.42696821209782515
industrials_revenue_20m,Industrials companies with revenue >= $20M,32,51033,2,0.4154465551423215
industrials_revenue_20m,Industrials companies with revenue >= $20M,33,51034,2,0.41634107671818155
industrials_revenue_20m,Industrials companies with revenue >= $20M,34,51035,2,0.4233047653775715
industrials_revenue_20m,Industrials companies with revenue >= $20M,35,51036,2,0.4219144957561232
industrials_revenue_20m,Industrials companies with revenue >= $20M,36,51037,2,0.42401051753552027
industrials_revenue_20m,Industrials companies with revenue >= $20M,37,51038,2,0.430433561068356
industrials_revenue_20m,Industrials companies with revenue >= $20M,38,51039,2,0.43069773925942
industrials_revenue_20m,Industrials companies with revenue >= $20M,39,51040,2,0.4249604350852507
industrials_revenue_20m,Industrials companies with revenue >= $20M,40,51041,2,0.42759636675089063
industrials_revenue_20m,Industrials companies with revenue >= $20M,41,51042,2,0.42264414379871407
industrials_revenue_20m,Industrials companies with revenue >= $20M,42,51043,2,0.4262535882017513
industrials_revenue_20m,Industrials companies with revenue >= $20M,43,51044,2,0.4338175230856959
industrials_revenue_20m,Industrials companies with revenue >= $20M,44,51045,2,0.41521023867371987
industrials_revenue_20m,Industrials companies with revenue >= $20M,45,51046,2,0.42452092315883555
industrials_revenue_20m,Industrials companies with revenue >= $20M,46,51047,2,0.4293992889203961
industrials_revenue_20m,Industrials companies with revenue >= $20M,47,51048,2,0.44064541428800086
industrials_revenue_20m,Industrials companies with revenue >= $20M,48,51049,2,0.431685641840193
industrials_revenue_20m,Industrials companies with revenue >= $20M,49,51050,2,0.4254427782469233
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,0,61001,2,0.3386589642235743
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,1,61002,2,0.3279894873042895
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,2,61003,2,0.3324002053784776
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,61004,2,0.34657140686745985
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,4,61005,2,0.34311874322839503
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,5,61006,2,0.3367387450249423
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,6,61007,2,0.3213055434892643
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,7,61008,2,0.3407120945420298
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,8,61009,2,0.35572812159819406
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,9,61010,2,0.3529476899337452
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,10,61011,2,0.33540924636927255
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,11,61012,2,0.34712546155442126
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,12,61013,2,0.3354154825659569
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,13,61014,2,0.33778491949232076
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,14,61015,2,0.32863814230234334
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,15,61016,2,0.33660782926469335
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,16,61017,2,0.3183987601720757
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,17,61018,2,0.348602259830962
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,18,61019,2,0.3453413908972868
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,19,61020,2,0.32008077752082154
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,20,61021,2,0.3295416108735553
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,21,61022,2,0.3300937912553694
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,22,61023,2,0.35473701311795264
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,23,61024,2,0.33576432225084635
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,24,61025,2,0.3405478008066851
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,25,61026,2,0.3363436175851918
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,26,61027,2,0.33501204458244366
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,27,61028,2,0.3254955251502471
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,28,61029,2,0.3531911461911285
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,29,61030,2,0.32049004660927366
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,30,61031,2,0.3232380303904325
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,31,61032,2,0.34382989483172366
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,32,61033,2,0.3583559117138607
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,33,61034,2,0.3330948143294974
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,34,61035,2,0.31863617462100446
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,35,61036,2,0.32948691930748025
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,36,61037,2,0.32853817047806455
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,37,61038,2,0.33479016186203575
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,38,61039,2,0.3293358148636621
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,39,61040,2,0.3290084000615642
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,40,61041,2,0.33323240630050077
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,41,61042,2,0.3228154959521126
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,42,61043,2,0.3281474916957435
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,43,61044,2,0.3404465550632003
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,44,61045,2,0.3428152285056722
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,45,61046,2,0.332903899879358
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,46,61047,2,0.34029253040599383
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,47,61048,2,0.3458823728362674
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,48,61049,2,0.33750727831745575
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,49,61050,2,0.3230254176294622
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,0,71001,2,0.5559425640857337
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1,71002,2,0.555531539629514
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,71003,2,0.5561790219392329
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,3,71004,2,0.5561029742573362
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,4,71005,2,0.5549490030436599
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,5,71006,2,0.5553262545006787
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,6,71007,2,0.5565911633795118
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,7,71008,2,0.5566228978962754
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,8,71009,2,0.5556464508498166
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,9,71010,2,0.5583300535385325
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,10,71011,2,0.5558035929648851
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,11,71012,2,0.5564994205241874
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,12,71013,2,0.55648535985366
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,13,71014,2,0.553808062456588
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,14,71015,2,0.5540267977669363
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,15,71016,2,0.5570415811781706
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,16,71017,2,0.554289526630436
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,17,71018,2,0.554241102144032
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,18,71019,2,0.5557796949628693
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,19,71020,2,0.556584578868121
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,20,71021,2,0.558714511494705
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,21,71022,2,0.5560641358574738
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,22,71023,2,0.5565780797424942
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,23,71024,2,0.5556891387944556
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,24,71025,2,0.5568645193989714
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,25,71026,2,0.5571765973089636
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,26,71027,2,0.5547298076147437
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,27,71028,2,0.5553649315967005
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,28,71029,2,0.556637104278905
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,29,71030,2,0.5563073658949906
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,30,71031,2,0.5553792742929526
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,31,71032,2,0.5561063580636904
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,32,71033,2,0.5563905817625328
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,33,71034,2,0.5568004274517211
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,34,71035,2,0.5557644955351385
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,35,71036,2,0.5561897993003833
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,36,71037,2,0.5565975415856655
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,37,71038,2,0.5549635434879682
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,38,71039,2,0.5555656213737128
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,39,71040,2,0.554707817541657
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,40,71041,2,0.5551475989751762
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,41,71042,2,0.5556739343824032
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,42,71043,2,0.5581848368766362
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,43,71044,2,0.555761690223455
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,44,71045,2,0.5548066798720808
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,45,71046,2,0.5548732222391295
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,46,71047,2,0.5563089985153771
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,47,71048,2,0.5546788403170019
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,48,71049,2,0.5563750281682095
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,49,71050,2,0.5555808960416495
