Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Reference Cluster,Reference Cluster Share,Median Resampled Cluster Share,Empirical 10th Percentile Cluster Share,Empirical 90th Percentile Cluster Share,Minimum Cluster Share,Maximum Cluster Share,Median Shared-Company Jaccard,Minimum Shared-Company Jaccard,Aligned Run Count,Expected Run Count
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,0.1554054054054054,0.15070422535211267,0.11830985915492959,0.17492957746478874,0.09295774647887324,0.19154929577464788,0.9305181191973645,0.5689655172413793,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0,0.6216216216216216,0.6563380281690141,0.6126760563380281,0.7304225352112677,0.5830985915492958,0.7549295774647887,0.8917325364693787,0.8038461538461539,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,1,0.3783783783783784,0.3436619718309859,0.26957746478873235,0.3873239436619718,0.24507042253521127,0.4169014084507042,0.8013227082994525,0.6466165413533834,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0,0.8220720720720721,0.8253521126760563,0.8109859154929577,0.8338028169014085,0.8084507042253521,0.8366197183098592,0.993243166124522,0.9797297297297297,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,1,0.17792792792792791,0.17464788732394365,0.16619718309859155,0.18901408450704227,0.16338028169014085,0.19154929577464788,0.9692234848484849,0.9047619047619048,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,0,0.9123867069486404,0.9227799227799228,0.9035945903756368,0.9343543463835434,0.8550185873605948,0.9397163120567376,1.0,0.9495798319327731,19,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,1,0.08761329305135952,0.07722007722007722,0.06564565361645654,0.08976400300850043,0.06028368794326241,0.10040160642570281,1.0,0.9444444444444444,19,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,0.044270833333333336,0.04697986577181208,0.039011379800853486,0.05374158523344191,0.036544850498338874,0.05821917808219178,1.0,1.0,19,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,0.8697916666666666,0.860710669953341,0.8487093443469282,0.895108410561287,0.8283828382838284,0.921311475409836,1.0,0.9765625,20,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,0.0859375,0.09121557567426648,0.07082809553739786,0.10476777481193886,0.05263157894736842,0.1254125412541254,1.0,0.8148148148148148,20,20
