Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,K,Sampling Seed,N Companies,Common-Space Silhouette Score,Evaluation Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10013,470,0.2580298381154206,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10014,470,0.2624461993039019,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10015,470,0.2655574345398208,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10016,469,0.26205357290962183,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10017,471,0.27560044152080077,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10018,472,0.24798887530245478,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10019,470,0.27669393899507916,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10000,469,0.2685661357476531,0.12366737739872068
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10001,469,0.5205299788511184,0.908315565031983
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10002,469,0.565973246942488,0.9040511727078892
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10003,470,0.3373364423077205,0.1574468085106383
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10004,469,0.2912849041429048,0.14712153518123666
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10005,469,0.5633636162014183,0.7889125799573561
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10006,469,0.5352456457341582,0.8592750533049041
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10007,469,0.5239317985309324,0.8294243070362474
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10008,470,0.2681687085194463,0.15106382978723404
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10009,469,0.27968423483335303,0.08742004264392324
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10010,469,0.49141239215621035,0.8720682302771855
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10011,469,0.5774699515237215,0.8891257995735607
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10012,469,0.5624106542927644,0.9339019189765458
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10013,470,0.32113079294812585,0.14042553191489363
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10014,470,0.4986493397121938,0.8553191489361702
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10015,470,0.6018524557151732,0.7872340425531915
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10016,469,0.2816437045345958,0.11087420042643924
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10017,471,0.5478402880272477,0.9065817409766455
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10018,472,0.3418474014170144,0.1292372881355932
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,10019,470,0.5005534457917835,0.9085106382978724
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10000,469,,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10001,469,0.5403566148246113,0.8635394456289979
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10002,469,,0.0
